Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626361464412978,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,45286,192.168.43.220,104.18.28.91,
1626361464436985,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,8735,104.18.28.91,192.168.43.220,
1626361466452977,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55335,192.168.43.220,5.9.70.141,
1626361466453195,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,15261,192.168.43.220,172.67.181.198,
1626361466488976,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,18197,172.67.181.198,192.168.43.220,
1626361466572975,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59579,5.9.70.141,192.168.43.220,
1626361466968977,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,75,64,17,51994,192.168.43.220,192.168.43.1,
1626361466969095,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,75,64,17,43762,192.168.43.1,192.168.43.220,
1626361468196960,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,29082,192.168.43.220,8.8.8.8,
1626361468197221,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,29081,192.168.43.220,8.8.8.8,
1626361468376966,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,108,17,54228,8.8.8.8,192.168.43.220,
1626361468377096,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,107,17,61189,8.8.8.8,192.168.43.220,
1626361473196957,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27924,192.168.43.220,8.8.8.8,
1626361473197087,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,29080,192.168.43.220,8.8.8.8,
1626361473376968,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,61911,8.8.8.8,192.168.43.220,
1626361473377086,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59577,5.9.70.141,192.168.43.220,
1626361473377138,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55334,192.168.43.220,5.9.70.141,
1626361473377211,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,35019,8.8.8.8,192.168.43.220,
1626361474700973,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,75,64,17,51122,192.168.43.220,192.168.43.1,
1626361474701097,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,75,64,17,43231,192.168.43.1,192.168.43.220,
1626361478192956,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27701,192.168.43.220,8.8.8.8,
1626361478193091,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27700,192.168.43.220,8.8.8.8,
1626361478372963,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,109,17,46166,8.8.8.8,192.168.43.220,
1626361478373063,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,135,115,17,37785,8.8.8.8,192.168.43.220,
1626361478384962,54-27-1E-17-4D-99,10-44-00-07-15-59,1544,0,0,0,1,2048,16,68,7,21.89.192.168,43.1.0.0,
1626361478385061,10-44-00-07-15-59,54-27-1E-17-4D-99,1544,0,0,0,1,2048,84,39,7703,77.153.192.168,43.220.16.68,
1626361478756956,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,61067,192.168.43.220,13.225.74.7,
1626361478757084,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,22004,192.168.43.220,104.17.140.178,
1626361478757137,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,5691,192.168.43.220,104.21.46.219,
1626361478757186,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,63837,192.168.43.220,13.224.193.79,
1626361478804969,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,64698,13.225.74.7,192.168.43.220,
1626361478805061,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,65236,104.17.140.178,192.168.43.220,
1626361478816956,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,58210,13.224.193.79,192.168.43.220,
1626361478817067,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,65424,104.21.46.219,192.168.43.220,
1626361480940971,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,31493,192.168.43.220,104.17.138.178,
1626361480941102,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,8026,192.168.43.220,172.67.174.163,
1626361480988955,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,65140,104.17.138.178,192.168.43.220,
1626361480989099,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,57431,172.67.174.163,192.168.43.220,
1626361482836957,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,19074,192.168.43.220,40.127.110.237,
1626361482884955,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,39395,40.127.110.237,192.168.43.220,
1626361482980955,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,36875,192.168.43.220,104.16.123.175,
1626361482981055,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,3253,192.168.43.220,68.232.34.200,
1626361482981126,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,63665,192.168.43.220,104.21.235.75,
1626361482981179,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,17374,192.168.43.220,172.67.174.163,
1626361482992959,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,97,64,6,21282,192.168.43.220,13.76.153.29,
1626361483016968,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,40,40,124,6,29762,104.21.235.75,192.168.43.220,
1626361483017058,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,2962,13.76.153.29,192.168.43.220,
1626361483017100,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,15780,172.67.174.163,192.168.43.220,
1626361483017152,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,124,6,19005,68.232.34.200,192.168.43.220,
1626361483017200,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,62841,104.16.123.175,192.168.43.220,
1626361483196958,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27699,192.168.43.220,8.8.8.8,
1626361483197070,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,60,63,17,27410,192.168.43.220,8.8.8.8,
1626361483220956,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,86,124,6,2915,13.76.153.29,192.168.43.220,
1626361483221032,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,21338,192.168.43.220,13.76.153.29,
1626361483340975,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,44440,8.8.8.8,192.168.43.220,
1626361483352966,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,44083,8.8.8.8,192.168.43.220,
1626361483616957,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,52,51,6,59576,5.9.70.141,192.168.43.220,
1626361483617082,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,55333,192.168.43.220,5.9.70.141,
1626361487024983,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,103,124,6,59115,104.16.95.65,192.168.43.220,
1626361487025255,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,61691,192.168.43.220,104.16.95.65,
1626361487025352,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,61690,192.168.43.220,104.16.95.65,
1626361487025491,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,59177,104.16.95.65,192.168.43.220,
1626361487025534,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,40,64,6,61689,192.168.43.220,104.16.95.65,
1626361487072976,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,40,124,6,59176,104.16.95.65,192.168.43.220,
