Time(uS) , Destination Address , Source Address, Protocol, IP Version, IP Header Length ,  Type Of Service , IP Total Length , Identification, TTL, Protocol, Checksum, Source IP, Destination IP 
1626363218338629,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,5805,91.189.91.38,192.168.43.220,
1626363218338692,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4401,192.168.43.220,91.189.91.38,
1626363218338753,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5604,91.189.91.38,192.168.43.220,
1626363218338816,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4400,192.168.43.220,91.189.91.38,
1626363218338879,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,5803,91.189.91.38,192.168.43.220,
1626363218338975,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4399,192.168.43.220,91.189.91.38,
1626363218339040,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5602,91.189.91.38,192.168.43.220,
1626363218339099,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4398,192.168.43.220,91.189.91.38,
1626363218339170,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,5801,91.189.91.38,192.168.43.220,
1626363218339228,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4397,192.168.43.220,91.189.91.38,
1626363218339292,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5600,91.189.91.38,192.168.43.220,
1626363218339364,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4396,192.168.43.220,91.189.91.38,
1626363218348963,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,116,17,17743,8.8.8.8,192.168.43.220,
1626363218349081,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,5799,91.189.91.38,192.168.43.220,
1626363218349139,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4395,192.168.43.220,91.189.91.38,
1626363218349194,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1440,124,6,5598,91.189.91.38,192.168.43.220,
1626363218349271,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4394,192.168.43.220,91.189.91.38,
1626363218349330,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1240,124,6,5797,91.189.91.38,192.168.43.220,
1626363218349384,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4393,192.168.43.220,91.189.91.38,
1626363218349426,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5696,91.189.91.38,192.168.43.220,
1626363218349488,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4392,192.168.43.220,91.189.91.38,
1626363218349532,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,128,135,109,17,30598,8.8.8.8,192.168.43.220,
1626363218349574,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5695,91.189.91.38,192.168.43.220,
1626363218349621,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4391,192.168.43.220,91.189.91.38,
1626363218349676,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5694,91.189.91.38,192.168.43.220,
1626363218349721,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4390,192.168.43.220,91.189.91.38,
1626363218349768,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5693,91.189.91.38,192.168.43.220,
1626363218349853,10-44-00-07-15-59,54-27-1E-17-4D-99,8,4,5,20,0,52,64,6,4389,192.168.43.220,91.189.91.38,
1626363218349949,54-27-1E-17-4D-99,10-44-00-07-15-59,8,4,5,20,0,1340,124,6,5692,91.189.91.38,192.168.43.220,
